No,IonCode,Name,Sample_type0,Sample_type1,Sample_type2,Sample_type3,Sample_type4,Sample_Name_Detailed,Temperature,pH,Conductivity ,ICPMS?,Carbon,Nitrogen,GWC,Na  ,Mg  ,K  ,Ca  ,Sr  ,Ba  , P,S,Se  ,Al  ,Tl  ,Pb  ,B,As  ,V  ,Cr  ,Mn  ,Fe  ,Co  ,Ni  ,Cu,Zn  ,Cd  ,U  ,Field-Season
1,IonCode_0101,Warren Cave,Other,Other,Cave,Subglacial,Subglacial,Warren Cave ,15.2,5.82,96.1,Yes,0.039,0.006,24.55,HIGH,5207.89,HIGH,11305.56,198.56,418,1415.63,1124.37,1.95,HIGH,0.17,45.94,41.54,39.54,2.09,1.02,1769.84,37968.02,2.23,0.29,3.5,138.45,0.16,7.8,2006
2,IonCode_0102,22 Blue,Other,Other,Cave,Subglacial,Subglacial,22 Blue,5.2,5.77,33.1,Yes,0.015,0.001,17.04,HIGH,5685.01,HIGH,13009.88,195.45,307.97,1707.65,428.44,1.79,HIGH,0.04,14.62,38.29,3.28,2.53,0.63,1451,28725.85,2.72,0.38,1.92,121.52,0.05,12.31,2011-2012
3,IonCode_0103,Exp Hot Soil 2,Other,Other,Circum,Exposed,Exp Hot Soil,Circum 2,25.3,6.79,125.6,Yes,0.03,0.037,24.2,HIGH,7711.77,20129.51,15410.49,261.39,402.84,1944.49,40.27,2.51,HIGH,0.09,8.7,34.21,3.83,1.88,2.09,2276.26,41691.48,3.54,0.82,1.56,169.9,0.42,6.23,2011-2012
4,IonCode_0104,Helo Cave,Other,Other,Cave,Subglacial,Subglacial,Helo Cave,7.1,5.79,77.1,Yes,0.025,0.004,16.86,HIGH,5513.87,HIGH,11013.91,182.51,296.46,1539.16,1291.96,2.18,HIGH,0.39,54.47,43.53,33.83,2.5,29.99,1620.6,37780.27,2.64,18.41,2.56,113.95,0.11,5.04,2011-2012
5,IonCode_0105,Harry's Dream Vent,Other,Other,Cave,Subglacial,Subglacial,Harry's Dream Vent,8.1,5.93,8.88,Yes,NA,NA,NA,49700,5880,34400,15100,192,357,2420,0,2.8,74500,0,27.6,21,17,2.3,1.4,1890,37500,2.26,0.42,2.2,138,0.098,6.5,2011-2012
6,IonCode_0106,TR_OS1 - 55,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Grad 1 - 55,55,5.81,313,Yes,0.299,0.284,43,1855.67,2648.28,1653,5216.89,74.06,1220.19,861.37,240.34,4.11,HIGH,0.61,29.22,26.01,9.28,3.85,0.62,7493.65,81823.68,5.33,0.27,3.14,213.17,9.14,10.84,2011-2012
7,IonCode_0107,Exp Hot Soil 6,Other,Other,Circum,Exposed,Exp Hot Soil,Circum 6,17.1,6.46,114.6,Yes,0.025,0.005,29.45,HIGH,8870.47,HIGH,15716.1,232.28,356,2011.05,592.72,2.81,HIGH,0.07,13.41,49.36,10.04,1.77,5.15,2349.32,43387.18,3.52,2.95,2.89,181.95,0.13,6.46,2011-2012
8,IonCode_0108,TR1 - 62,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,TR1 - 62,62,4.41,228.4,Yes,1.015,0.253,44.82,3338.095,2258.68,2435.7,2557.92,23.825,943.805,1730.17,968.652,10.566,117670.088,0.17,29.736,76.503,11.455,1.294,50.252,1809.18,24367.393,1.243,0.655,1.093,55.024,2.501,12.119,2019
9,IonCode_0109,TR_OS1 - 15,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Grad 1 - 15,15,3.82,497,Yes,0.908,0.144,36.87,12167.53,2456.71,10236.08,4349.89,57.35,256.64,1499.3,495.88,1.52,HIGH,0.17,47.12,43.97,36.18,4.04,1.75,2479.29,74785.55,2.62,0.66,3.06,141.55,1.44,4.81,2011-2012
10,IonCode_0110,Exp Hot Soil 7,Other,Other,Circum,Exposed,Exp Hot Soil,Circum 7,33.3,6.38,139.8,Yes,0.029,0.007,20.19,HIGH,7078.74,HIGH,13535.42,224.36,364.03,1664.97,618.46,2.19,HIGH,0.1,15.92,56.42,7.66,1.56,7.67,2127.69,43058.03,2.96,4.6,3.06,196.66,0.34,6.7,2010-2011
11,IonCode_0111,Crater 6 low,Other,Other,Crater,Exposed,Exp Hot Soil,Crater 6 low,60.6,7.02,110.7,Yes,0.034,0.039,28.82,HIGH,6699.8,20465.85,15275.39,261.83,391.61,1986.42,128.15,2.68,HIGH,0.09,8.2,40.09,3.48,1.67,1.32,2315.73,40432.65,3.33,0.52,1.95,166.4,0.4,6.14,2011-2012
12,IonCode_0112,OS3,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,OS3,65,6.2,195.5,Yes,NA,NA,NA,4508.04,1502.66,2705.39,3102.62,74.15,1046.09,457.81,188,3.88,HIGH,0.19,22.52,29.8,5.29,2.75,4.97,4296.84,47334.99,4.04,3.17,2.43,161.71,5.67,9.2,2011-2012
13,IonCode_0113,TR_OS1 - 45,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Grad 1 - 45,45,4.34,434,Yes,0.732,0.155,45.99,4186.2,1310,3939.87,2098.1,51.14,1054.34,583.75,479.1,3.87,HIGH,0.34,77.26,26.99,29.6,3.84,0.65,6100.06,92010.39,4.1,0.18,3.85,267,6.01,11.36,2011-2012
14,IonCode_0114,TR_OS1 - 25,Tramway,Tramway,Tramway,Exposed,Tramway Ridge,Grad 1 - 25,25,3.76,542,Yes,0.771,0.145,48.29,3446.42,2876.54,2418.93,4735.22,40.05,296.01,3211.1,650.72,1.35,HIGH,0.09,54.84,47.86,35.01,9.87,1.05,3468.7,162199.53,3.13,0.42,4.32,174.11,1.15,5.2,2011-2012
